id,countyId,cityId,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,yearBuilt,streetAddress,zipcode,longitude,latitude,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
30117-69939637,94883,17317,0,0,Listed for sale,1/13/2021,64900,0,Carrollton,0,218 Lambert Overlook Cir,30117,-85.14578247,33.64125824,0,0,sqft,0,0,0,0,0,0,0,0,0,0,0,LOT,Carroll County
31007-2075690728,95123,0,0,0,Price change,1/18/2021,343000,0,Byromville,0,0 Holland Dr,31007,-83.88650513,32.2516861,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Dooly County
30576-76597727,97003,14139,0,0,Listed for sale,7/8/2021,400000,182,Tiger,2008,1095 Bridge Creek Rd,30576,-83.44953918,34.8527298,2202,2202,Acres,4,4,2202,1,0,0,Three Or More,0,0,0,0,SINGLE_FAMILY,Rabun County
30576-2069740232,97004,14139,0,0,Listed for sale,7/6/2021,399000,383,Tiger,2007,48 Millstone Ln,30576,-83.42858887,34.85164261,1041,1041,Acres,2,3,1041,1,0,1,One,0,0,0,0,SINGLE_FAMILY,Rabun County
30576-2069808069,97005,14139,0,0,Listed for sale,7/1/2021,449000,234,Tiger,2021,203 Arrendale Dr,30576,-83.44098663,34.84967422,1920,1920,Acres,2,3,1920,1,0,1,One,0,0,1,0,SINGLE_FAMILY,Rabun County
30576-2104185371,97006,14139,0,0,Unknown,6/29/2021,0,0,Tiger,0,0 Rainwater Trl,30576,-83.53022766,34.84428787,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30576-231079941,97007,14139,0,0,Listed for sale,7/11/2021,330000,160,Tiger,2010,302 Applewood Dr,30576,-83.42059326,34.85126495,2060,2060,Acres,3,3,2060,0,0,0,0,0,0,0,0,SINGLE_FAMILY,Rabun County
30576-2070431310,97008,14139,0,0,Listing removed,7/10/2021,40000,0,Tiger,0,0 Ritchie Rd TRACT 2,30576,-83.49961853,34.82513046,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30576-2102052138,97009,14139,0,0,Listing removed,7/10/2021,7500,0,Tiger,0,26 Bonanza Ln,30576,-83.49573517,34.82053375,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30576-2080647363,97010,14139,0,0,Listing removed,7/10/2021,166000,0,Tiger,0,0 Tiger Pass Dr LOT 30,30576,-83.44424438,34.86384964,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30576-2099596275,97011,14139,0,0,Listing removed,7/10/2021,94500,0,Tiger,0,0 High Holly #1HH,30576,-83.43293762,34.84703827,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30576-2080647920,97012,14139,0,0,Listing removed,7/10/2021,115000,0,Tiger,0,0 Standing Rock Dr #3,30576,-83.43082428,34.8651886,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30576-2101404068,97013,14139,0,0,Listing removed,7/10/2021,200000,0,Tiger,0,0 Rainwater Trl #11,30576,-83.53538513,34.84140015,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30576-2086930022,97014,14139,0,0,Listing removed,7/10/2021,45000,0,Tiger,0,30 Red Maple,30576,-83.44374084,34.84854126,0,0,Acres,0,0,0,0,0,0,0,0,0,0,0,LOT,Rabun County
30576-93123003,97015,14139,0,0,Listed for sale,7/9/2021,258000,144,Tiger,1990,653 Covecrest Dr,30576,-83.50415802,34.81890488,1792,1792,sqft,3,3,1792,1,0,1,0,0,0,0,0,TOWNHOUSE,Rabun County
30576-2070063230,97016,14139,0,0,Listed for sale,6/20/2021,425000,184,Tiger,2021,1859 Charlie Mountain Rd,30576,-83.52174377,34.83982849,2304,2304,Acres,3,3,2304,1,0,0,Two,0,0,1,0,SINGLE_FAMILY,Rabun County
30576-231086771,97017,14139,0,0,Listed for sale,7/12/2021,3300000,0,Tiger,1981,1110 Murray Cove Rd,30576,-83.53774261,34.84477615,0,0,Acres,5,5,0,0,0,1,Three Or More,0,0,0,0,SINGLE_FAMILY,Rabun County
30576-93123438,97018,14139,0,0,Listed for sale,7/12/2021,300000,0,Tiger,1960,45 Joe Davis Rd,30576,-83.42592621,34.86051941,0,0,Acres,3,4,0,1,0,0,One and One Half,0,0,0,0,SINGLE_FAMILY,Rabun County
30576-126750146,97019,14139,0,0,Listed for sale,7/8/2021,593900,155,Tiger,2005,8280 Bridge Creek Rd,30576,-83.5331192,34.81245804,3844,3844,Acres,4,5,3844,1,0,1,Three Or More,1,0,0,0,SINGLE_FAMILY,Rabun County
